Company,Description,UsersPattern,UsersPattern,UsersPattern,UsersPattern,UsersPattern,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersRelative,UsersRelative,UsersRelative,UsersRelative,UsersRelative,UsersRelative,ImpactPattern,ImpactPattern,ImpactPattern,ImpactPattern,ImpactPattern,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactRelative,ImpactRelative,ImpactRelative,ImpactRelative,ImpactRelative,RevenuePattern,RevenuePattern,RevenuePattern,RevenuePattern,RevenuePattern,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueRelative,RevenueRelative,RevenueRelative,RevenueRelative,RevenueRelative
Yelp,Online review platform,2,2,2,3,2,15.000.000,25.000.000,41.000.000,66.000.000,86.000.000,108.000.000,,67,64,61,41,64,1,2,3,2,4,4.000.000,9.000.000,15.000.000,22.000.000,36.000.000,42.000.000,125,67,47,64,17,,1,2,2,2,12.140.000,25.810.000,47.731.000,83.285,137.567.000,,113,85,74,65
AirBNB (2008),Tourism / Hospitality,,1,1,1,3,,10,25,100,300,500,,,150,300,200,50,1,1,1,1,,180,105,525,3.100.000,10.000.000,,58233,400,490,223,,,1,1,1,1,160,1.000.000,5.300.000,34.000.000,190.000.000,,525,430,542,459
Wikipedia,Digital Enclyclopedia ,,4,4,4,,,342.123.000,414.000.000,454.000.000,500.000.000,,,,21,13,10,,4,4,4,4,,10.700.000,14.000.000,18.000.000,20.600.000,23.000.000,,31,29,14,12,,,4,2,3,3,70.060.610,86.710.000,"165,780.00",247.850.000,380.480.000,,23,85,54,55
Kickstarter,Digital crowdfunding,,,1,3,,,,11.13,27.086,41.765,,,,,143,54,,,,1,3,,,,3.91,11.836,18.109,,,,203,53,,,,,1,1,,,1.381.915,4.967.219,15.985.334,,,100,259,222
ZipCar,Car Sharing Platform,,1,4,4,4,225,325,540.484,673.257,777.689,810,,,140,25,16,4,,,,1,,,,8.25,8904,9763,,,,8,10,,,4,3,4,4,105.969.000,131.182.000,186.101.000,241.600.000,278.900.000,,27,42,36,15
Evernote,Digital Notebook,1,1,1,1,3,500,2.096.030,6.003.130,20.000.000,41.000.000,65.000.000,,319,186,233,105,59,1,1,1,1,,4000,35.31,201.308,750,1.500.000,,783,470,273,100,,,,4,2,1,,6.500.000,9.058.860,18.000.000,80.000.000,,100,39,99,344
Spotify,Online Music Service,,3,3,3,4,,7.000.000,10.000.000,15.000.000,20.000.000,24.000.000,,,43,50,50,20,,1,1,2,4,,250,650,3.000.000,5.000.000,6.000.000,,160,362,67,20,,,1,1,1,-4.400.000,17.000.000,99.100.000,244.000.000,500.000.000,,100,483,150,105
Salesforce,Cloudcomputing,2,4,3,2,,1.100.000,1.700.000,2.100.000,3.000.000,5.800.000,,,55,23,43,93,,4,4,4,,,51.8,63,87,104,,,22,38,20,,,,3,4,4,4,748.000.000,1.076.769.000,1.305.583.000,1.675.139.000,2.266.539.000,,44,21,28,35
Ancestry,,4,4,4,3,,911.112,1.066.000,1.395.000,1.680.673,2.500.000,,,16,30,20,49,,,3,4,3,,,4.000.000.000,6.000.000.000,8.000.000.000,11.400.000.000,,,50,33,43,,,4,4,3,4,181.391.000,207.707.000,281.670.000,399.589.828,487.100.000,,15,36,42,22
Global Giving,Micro Credit Lending Club,2,2,1,,,440,790,1.340.000,2.270.000,,,,80,70,101,,,3,2,2,,,16.000.000,25.000.000,47.000.000,80.900.000,,,56,88,72,,,,4,3,3,,10.042.543,10.310.532,14.378.146,22.238.101,,,1,40,55,
Quirky ,Socially Developed Product Company,,,1,1,2,,,100,78,260,400,,,,100,230,74,,,2,1,1,,,5.928,11.804,78,400,,,99,561,413,,,,1,1,,,1.000.000,6.500.000,19.500.000,,,,550,200
Alpe d'Huzes,Charity Event,1,1,4,3,,100,1300,4300,4661,8000,,,1200,231,8,72,,,,,,,,,,,,,,,,,,,2,1,2,2,3.376.500,5.745.222,12.027.926,20.040.141,32.231.747,,70,109,67,61
Crowdgather,"Network of online, forum based communities",,2,1,2,4,,2.900.000,5.500.000,15.000.000,26.000.000,20.000.000,,100,90,173,73,,,1,1,4,4,,1.700.000,4.500.000,15.000.000,17.900.000,12.400.000,,165,233,19,,,,1,1,4,,112.546,309.781,1.580.957,1.932.789,,100,175,410,22
Elance,Online platform for work,,2,4,3,3,,60,110,130,345,500,,,83,18,54,45,,3,1,1,2,,100,160,650,1.500.000,2.850.000,,60,306,131,90,,3,4,4,4,150.000.000,230.000.000,300.000.000,400.000.000,500.000.000,,53,30,33,33
