;;;;;;;;;;;;;;;;
Company;Description;Users;;;;;Impact;;;;;Revenue;;;;
Plos;Open Source Journal;;;;;;3;3;1;2;1;;3;3;2;
Crowdflower;Online P2P task platform;;1;1;2;2;;1;1;1;1;;;;-;
DeviantArt;Online artwork community;3;4;4;4;4;2;2;4;4;4;;;;;
Youtube;Video Sharing website ;3;1;2;;;1;1;3;4;4;;;;;
Research Gate;Online network for science and research;;1;1;2;4;;3;1;2;4;;;;;
Baidu;Chinese search engine;;;;2;3;4;4;4;4;3;;4;2;2;3
TedX;Video Conference Website;1;4;1;1;;;;1;4;2;;;;;
Alibaba Group;Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world;4;4;4;;;3;;;;;;;2;2;2
Meet Up;Facilitate off line groups meetings;1;3;4;4;4;3;1;;;;;;;;
23AndMe;Provides rapid genetic testing;;;3;2;2;;;3;1;1;;;;;
Twitter;Social Micro Blogging website;;;1;3;3;;;1;1;1;;;1;1;1
Patientslikeme;Platform people physical problems;2;4;2;2;4;;;;;3;;;;;
Shiply;Transporting ;;1;2;1;2;;;2;1;4;;;1;;
Skype;Online Communicating Platform;4;4;;;;4;4;;;2;;4;4;;
Instragram;Photo Application;;;1;1;3;;;;;;;;;;
Shapeways;3D Printing Company;;1;1;1;4;;;1;3;2;;;;;
Foursquare;Locations Based Services;;1;1;2;2;;;2;1;3;;;;;
Pinterest;Photo-sharing website ;;;;1;3;;;;1;4;;;;;
Khan Academy ;Online education program;;;1;2;-;3;1;4;4;4;;;;;
Docstoc;File Sharing Website;;2;1;1;4;;1;3;4;;;;;;
Dropbox;File Sharing Cloud;1;1;1;1;2;;;;1;2;;;;1;1
BlaBlaCar (2006);Travelling / Mobility ;1;1;1;1;;;;1;3;4;;;;;4
Arduino;OSHW project;2;4;1;2;1;2;4;2;1;;;;;;3
Couchsurfing;Hospitality / Tourism;;1;4;4;;2;;;;;;;1;;
Sparkfun;OSHW webshop;;;;;;;;4;4;;;1;4;4;4
37signals;Web Application Company;;;;;;4;2;4;4;;;;;;
Android ;Application Platform;;;1;1;2;;1;1;4;1;;;;1;1
Whatsapp;Application ;;1;1;1;3;;;;1;1;;;;;
Ebay;E-Commerce Website;;;;;;4;4;4;4;;;1;2;2;2
Makerbot;Desktop 3D printing;;3;3;2;;;;;;;;;;;3
Huffington Post;Online News Aggregretor;;;;;;1;;;4;;;;1;4;
Etsy;E-Commerce Website;;1;3;1;4;;;;;4;;1;2;2;2
Taskrabbit;Online p2p platform;;;1;1;;;;;2;;;;;;
Fon ;"""Flexible"" Wifi provider";;;1;;;1;1;4;4;;;;1;;
Quora;Questions and Answers;;;1;;;;;1;1;;;;;;
Lendingclub;P2P Lending Company;;;;;;1;1;1;1;;;;;;
Carpooling.com;Ride Sharing;;;;4;4;;;;;;;;;;
Stack Overflow;Questions and Answers;;;;;;;1;2;2;4;;;;;
Outbrain;Content recommendation service;;;;;;;;;;;;;;;
We Transfer;Digital filesending website;;;;;;;;;1;;;;;;1
Layar;Augmented Reality App;;;;;;;;;2;;;;;;
Waze;Navigation Application;;1;1;1;3;;;;;;;;;;
Guifinet;Free, Open, neutral wireless community network;;;;;;3;4;3;4;4;;;;;
Change.org;Platform for social change;;1;1;1;1;;;;1;2;;;;;
Hoote Suite;Social Media Dashboard;;1;1;2;3;;;;;;;;;;1
Causes;Platform for social change;1;2;4;4;4;;;;;;;;;;
8Coupon;Coupon aggregator;1;4;1;;;1;1;1;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;;Explosive Growth;;;;;;;;;;;;;;
2;;Rapid Growth;;;;;;;;;;;;;;
3;;Steady Growth;;;;;;;;;;;;;;
4;;Declining Growth;;;;;;;;;;;;;;
