,Company,Year,UsersPattern,UsersAbsolute,UsersRelative,ImpactPattern,ImpactAbsolute,ImpactRelative,RevenuePattern,RevenueAbsolute,RevenueRelative,X,Description,Company.ID.Number,CrowdSourced,Centralized,Money,Property,Knowledge,Services,Media,Data,Relationships,Service,Market,Platform,Commons,Redistribution,Breaktrough,Producer
29,Alibaba Group,2012,NA,NA,NA,NA,NA,NA,3,4.90E+09,69,65,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
30,Alibaba Group,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
31,Alpe d'Huzes,2009,4,1300,1200,NA,NA,NA,3,5745222,70,18,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
32,Alpe d'Huzes,2011,1,4661,8,NA,NA,NA,3,20040141,67,18,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
33,Alpe d'Huzes,2010,4,4300,231,NA,NA,NA,4,12027926,109,18,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
34,Alpe d'Huzes,2008,NA,100,NA,NA,NA,NA,NA,3376500,NA,18,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
35,Alpe d'Huzes,2012,2,8000,72,NA,NA,NA,3,32231747,61,18,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
36,Alpe d'Huzes,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
37,Ancestry,2011,1,1680673,20,1,8.00E+09,33,2,399589828,42,16,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
38,Ancestry,2008,NA,911112,NA,NA,NA,NA,NA,181391000,NA,16,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
39,Ancestry,2009,1,1066000,16,NA,4.00E+09,NA,1,207707000,15,16,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
40,Ancestry,2010,1,1395000,30,2,6.00E+09,50,1,281670000,36,16,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
41,Ancestry,2012,2,2500000,49,2,1.14E+10,43,1,487100000,22,16,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
42,Ancestry,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
43,Android ,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
44,Android ,2011,4,1.00E+10,49,4,237700000,260,4,341765335,185,40,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
