,Company,Year,UsersPattern,UsersAbsolute,UsersRelative,ImpactPattern,ImpactAbsolute,ImpactRelative,RevenuePattern,RevenueAbsolute,RevenueRelative,X,Description,Company.ID.Number,CrowdSourced,Centralized,Money,Property,Knowledge,Services,Media,Data,Relationships,Service,Market,Platform,Commons,Redistribution,Breaktrough,Producer
160,Foursquare,2012,3,2.50E+07,67,4,3.00E+09,300,NA,2.00E+06,NA,30,Locations Based Services,31,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
161,Foursquare,2013,3,4.00E+07,60,2,4.50E+09,50,NA,NA,NA,30,Locations Based Services,31,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
162,Foursquare,2010,4,6.00E+06,59,NA,381576305,NA,NA,NA,NA,30,Locations Based Services,31,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
163,Global Giving,2010,3,1340000,70,3,4.70E+07,88,2,14378146,40,17,Micro Credit Lending Club,18,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
164,Global Giving,2008,NA,440,NA,NA,1.60E+07,NA,NA,10042543,NA,17,Micro Credit Lending Club,18,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
165,Global Giving,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,Micro Credit Lending Club,18,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
166,Global Giving,2011,4,2270000,101,3,80900000,72,2,22238101,55,17,Micro Credit Lending Club,18,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
167,Global Giving,2009,3,790,80,2,2.50E+07,56,1,10310532,1,17,Micro Credit Lending Club,18,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
168,Global Giving,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,Micro Credit Lending Club,18,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
169,Guifinet,2012,NA,NA,NA,1,19,27,NA,NA,NA,60,"Free, Open, neutral wireless community network",61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Guifinet,2009,NA,NA,NA,2,88,57,NA,NA,NA,60,"Free, Open, neutral wireless community network",61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Guifinet,2010,NA,NA,NA,1,106,20,NA,NA,NA,60,"Free, Open, neutral wireless community network",61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Guifinet,2011,NA,NA,NA,2,15,42,NA,NA,NA,60,"Free, Open, neutral wireless community network",61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Guifinet,2013,NA,NA,NA,1,22,16,NA,NA,NA,60,"Free, Open, neutral wireless community network",61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Guifinet,2008,NA,NA,NA,NA,56,NA,NA,NA,NA,60,"Free, Open, neutral wireless community network",61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Huffington Post,2010,NA,NA,NA,NA,NA,NA,4,3.00E+07,100,44,Online News Aggregretor,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
176,Huffington Post,2008,NA,NA,NA,NA,1200000,NA,NA,NA,NA,44,Online News Aggregretor,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
177,Huffington Post,2011,NA,NA,NA,NA,35600000,NA,1,4.00E+07,33,44,Online News Aggregretor,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,Huffington Post,2012,NA,NA,NA,1,4.50E+07,26,NA,NA,NA,44,Online News Aggregretor,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,Huffington Post,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,Online News Aggregretor,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,Huffington Post,2009,NA,NA,NA,4,9.00E+06,650,NA,1.50E+07,100,44,Online News Aggregretor,45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
181,Instragram,2011,4,1.00E+07,900,NA,NA,NA,NA,NA,NA,29,Photo Application,30,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
182,Instragram,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Photo Application,30,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
183,Instragram,2012,4,1.00E+08,900,NA,NA,NA,NA,NA,NA,29,Photo Application,30,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
184,Instragram,2013,2,1.50E+08,50,NA,NA,NA,NA,NA,NA,29,Photo Application,30,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
185,Instragram,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Photo Application,30,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
186,Instragram,2010,NA,1.00E+06,100,NA,NA,NA,NA,NA,NA,29,Photo Application,30,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
187,Khan Academy ,2013,NA,3.50E+07,NA,1,2.50E+07,6,NA,NA,NA,33,Online education program,34,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
188,Khan Academy ,2010,NA,3.00E+06,NA,4,1.30E+07,100,NA,NA,NA,33,Online education program,34,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
189,Khan Academy ,2011,4,1.10E+07,139,1,2.00E+07,30,NA,NA,NA,33,Online education program,34,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
190,Khan Academy ,2012,3,3.00E+07,71,1,2.50E+07,31,NA,NA,NA,33,Online education program,34,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
191,Khan Academy ,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,Online education program,34,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
192,Khan Academy ,2009,NA,1600000,NA,2,5.00E+06,43,NA,NA,NA,33,Online education program,34,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
193,Kickstarter,2012,2,41765,54,2,18109,53,4,15985334,222,11,Digital crowdfunding,12,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
194,Kickstarter,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Digital crowdfunding,12,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
195,Kickstarter,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Digital crowdfunding,12,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
196,Kickstarter,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Digital crowdfunding,12,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
197,Kickstarter,2010,NA,1113,NA,NA,391,NA,NA,1381915,100,11,Digital crowdfunding,12,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
198,Kickstarter,2011,4,27086,143,4,11836,203,4,4967219,259,11,Digital crowdfunding,12,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
199,Kiva ,2009,NA,584189,NA,4,1.00E+08,100,1,9100000,28,2,P2P Lending Company,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
200,Kiva ,2013,1,938049,35,1,456754450,22,NA,NA,NA,2,P2P Lending Company,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
201,Kiva ,2010,2,370837,48,2,1.50E+08,50,1,11515298,27,2,P2P Lending Company,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
202,Kiva ,2008,NA,250,NA,NA,5.00E+07,NA,NA,7100000,NA,2,P2P Lending Company,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
203,Kiva ,2011,1,457739,23,2,2.40E+08,60,1,13582629,18,2,P2P Lending Company,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
204,Kiva ,2012,3,777946,70,2,3.75E+08,56,1,17394130,28,2,P2P Lending Company,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
205,Layar,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Augmented Reality App,55,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
206,Layar,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Augmented Reality App,55,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
207,Layar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Augmented Reality App,55,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
208,Layar,2011,NA,NA,NA,NA,1.80E+07,NA,NA,NA,NA,54,Augmented Reality App,55,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
209,Layar,2012,NA,NA,NA,3,2.90E+07,61,NA,NA,NA,54,Augmented Reality App,55,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
210,Layar,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Augmented Reality App,55,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
211,Lendingclub,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,P2P Lending Company,50,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
212,Lendingclub,2010,NA,NA,NA,4,2.02E+08,164,NA,NA,NA,49,P2P Lending Company,50,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
213,Lendingclub,2011,NA,NA,NA,4,4.60E+08,128,NA,NA,NA,49,P2P Lending Company,50,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
214,Lendingclub,2012,NA,NA,NA,4,1.00E+09,117,NA,NA,NA,49,P2P Lending Company,50,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
215,Lendingclub,2009,NA,NA,NA,4,76600000,209,NA,NA,NA,49,P2P Lending Company,50,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
216,Lendingclub,2008,NA,NA,NA,NA,24800000,NA,NA,NA,NA,49,P2P Lending Company,50,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
217,LinkedIN,2008,NA,11900000,NA,NA,30100000,NA,NA,78773000,NA,5,Social Network For Professionals,6,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
218,LinkedIN,2011,2,8.40E+07,52,2,144974000,60,4,522189000,115,5,Social Network For Professionals,6,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
219,LinkedIN,2012,2,1.26E+08,50,1,201912000,39,3,972309000,86,5,Social Network For Professionals,6,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
220,LinkedIN,2013,1,1.40E+08,17,1,2.40E+08,19,NA,NA,NA,5,Social Network For Professionals,6,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
221,LinkedIN,2009,3,2.00E+07,68,3,5.00E+07,66,2,120127000,52,5,Social Network For Professionals,6,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
222,LinkedIN,2010,4,5.20E+07,165,3,90437000,81,4,243099000,102,5,Social Network For Professionals,6,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
223,Makerbot,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Desktop 3D printing,44,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
224,Makerbot,2012,3,13,63,NA,NA,NA,2,15700000,57,43,Desktop 3D printing,44,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
225,Makerbot,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Desktop 3D printing,44,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
226,Makerbot,2009,NA,35,NA,NA,NA,NA,NA,NA,NA,43,Desktop 3D printing,44,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
227,Makerbot,2010,2,5200,49,NA,NA,NA,NA,NA,NA,43,Desktop 3D printing,44,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
228,Makerbot,2011,2,8000,54,NA,NA,NA,NA,1.00E+07,100,43,Desktop 3D printing,44,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
229,Meet Up,2009,4,4.00E+06,100,2,30,50,NA,NA,NA,66,Facilitates off line group meetings,67,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
230,Meet Up,2010,2,6100000,53,4,68,127,NA,NA,NA,66,Facilitates off line group meetings,67,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
231,Meet Up,2012,1,11100000,39,NA,80,NA,NA,1.20E+07,NA,66,Facilitates off line group meetings,67,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
232,Meet Up,2013,1,15140000,36,NA,200,150,NA,NA,NA,66,Facilitates off line group meetings,67,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
233,Meet Up,2008,NA,2.00E+06,NA,NA,20,NA,NA,NA,NA,66,Facilitates off line group meetings,67,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
234,Meet Up,2011,1,8.00E+06,31,NA,NA,NA,NA,NA,NA,66,Facilitates off line group meetings,67,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
235,Netflix,2012,1,3.30E+07,26,1,27613000,14,1,3609282000,13,6,Online TV Service,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
236,Netflix,2008,NA,9390000,NA,NA,9164000,NA,NA,1364661000,NA,6,Online TV Service,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
237,Netflix,2010,3,20010000,63,2,18268000,54,1,2162625000,29,6,Online TV Service,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
238,Netflix,2011,1,26253000,31,1,24305000,33,2,3204577000,48,6,Online TV Service,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
239,Netflix,2013,NA,NA,NA,1,29200000,6,NA,NA,NA,6,Online TV Service,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
240,Netflix,2009,1,12268000,35,1,11892000,30,1,1670269000,22,6,Online TV Service,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
241,Odesk,2008,NA,50,NA,NA,125,NA,NA,4.00E+06,NA,1,Global Job Market Place,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
242,Odesk,2012,4,540,116,3,2700000,80,4,44600000,123,1,Global Job Market Place,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
243,Odesk,2009,2,95,45,4,450,260,2,6.00E+06,50,1,Global Job Market Place,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
244,Odesk,2010,4,200,105,3,860,91,3,1.10E+07,83,1,Global Job Market Place,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
245,Odesk,2011,1,250,25,3,1500000,74,3,2.00E+07,82,1,Global Job Market Place,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
246,Odesk,2013,NA,NA,NA,1,3100000,15,NA,NA,NA,1,Global Job Market Place,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
247,Outbrain,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Content recommendation service,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
248,Outbrain,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Content recommendation service,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
249,Outbrain,2013,NA,NA,NA,NA,90,NA,NA,NA,NA,52,Content recommendation service,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
250,Outbrain,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Content recommendation service,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
251,Outbrain,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Content recommendation service,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
252,Outbrain,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Content recommendation service,53,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
253,Patientslikeme,2008,NA,25,NA,NA,NA,NA,NA,NA,NA,26,Platform people physical problems,27,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
254,Patientslikeme,2009,3,45,80,NA,NA,NA,NA,NA,NA,26,Platform people physical problems,27,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
255,Patientslikeme,2012,3,160,60,NA,1500,NA,NA,NA,NA,26,Platform people physical problems,27,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
256,Patientslikeme,2013,1,220,38,2,2000,33,NA,NA,NA,26,Platform people physical problems,27,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
257,Patientslikeme,2010,1,55,22,NA,NA,NA,NA,NA,NA,26,Platform people physical problems,27,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
258,Patientslikeme,2011,3,100,81,NA,NA,NA,NA,NA,NA,26,Platform people physical problems,27,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
259,Pinterest,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Photo-sharing website ,32,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
260,Pinterest,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Photo-sharing website ,32,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
261,Pinterest,2013,2,7.00E+07,44,1,29632353,26,NA,NA,NA,31,Photo-sharing website ,32,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
262,Pinterest,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Photo-sharing website ,32,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
263,Pinterest,2011,NA,10400000,100,NA,418,NA,NA,NA,NA,31,Photo-sharing website ,32,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
264,Pinterest,2012,4,48700000,368,4,23525135,5528,NA,4.50E+07,NA,31,Photo-sharing website ,32,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
265,Plos,2009,NA,NA,NA,2,4406,57,2,8899000,45,21,Open Source Journal,22,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
266,Plos,2010,NA,NA,NA,2,6749,53,2,12995000,46,21,Open Source Journal,22,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
267,Plos,2011,NA,1500000,NA,4,13789,104,3,22276000,71,21,Open Source Journal,22,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
268,Plos,2013,NA,NA,NA,4,66654,184,NA,NA,NA,21,Open Source Journal,22,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
269,Plos,2008,NA,5400000,NA,NA,28,NA,NA,6142000,NA,21,Open Source Journal,22,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
270,Plos,2012,NA,NA,NA,3,23488,70,NA,NA,NA,21,Open Source Journal,22,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
271,Quora,2010,NA,1470,100,NA,160,NA,NA,NA,NA,48,Questions and Answers,49,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
272,Quora,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,Questions and Answers,49,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
273,Quora,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,Questions and Answers,49,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
274,Quora,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,Questions and Answers,49,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
275,Quora,2011,4,547777,37163,4,2835,77,NA,1.10E+07,NA,48,Questions and Answers,49,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
276,Quora,2012,NA,NA,NA,4,792514,180,NA,6.10E+07,NA,48,Questions and Answers,49,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
277,RenRen,2013,1,1.94E+08,9,1,5.40E+07,NA,NA,NA,NA,68,Chinese social network forum,69,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
278,RenRen,2010,1,1.10E+08,33,1,2.60E+07,18,3,76535000,64,68,Chinese social network forum,69,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
279,RenRen,2011,1,1.47E+08,34,2,3.80E+07,46,2,117967000,54,68,Chinese social network forum,69,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
280,RenRen,2012,1,1.78E+08,21,2,5.60E+07,47,2,176086000,49,68,Chinese social network forum,69,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
281,RenRen,2008,NA,3.30E+07,NA,NA,1.70E+07,NA,NA,13782000,NA,68,Chinese social network forum,69,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
282,RenRen,2009,4,8.30E+07,152,1,2.20E+07,29,4,46684000,239,68,Chinese social network forum,69,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
283,Research Gate,2011,4,1300000,160,4,2.70E+07,44900,NA,NA,NA,62,Online network for science and research,63,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
284,Research Gate,2012,3,2200000,69,3,4.50E+07,67,NA,NA,NA,62,Online network for science and research,63,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
285,Research Gate,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,Online network for science and research,63,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
286,Research Gate,2009,NA,140,100,NA,40,NA,NA,NA,NA,62,Online network for science and research,63,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
287,Research Gate,2010,4,500,257,2,60,50,NA,NA,NA,62,Online network for science and research,63,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
288,Research Gate,2013,1,3.00E+06,36,1,5.00E+07,11,NA,NA,NA,62,Online network for science and research,63,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
289,Salesforce,2011,2,3.00E+06,43,1,104,20,1,1675139000,28,15,Cloudcomputing,16,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
290,Salesforce,2009,3,1700000,55,1,63,22,2,1076769000,44,15,Cloudcomputing,16,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
291,Salesforce,2010,1,2100000,23,1,87,38,1,1305583000,21,15,Cloudcomputing,16,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
292,Salesforce,2008,NA,1100000,NA,NA,518,NA,NA,7.48E+08,NA,15,Cloudcomputing,16,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
293,Salesforce,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Cloudcomputing,16,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
294,Salesforce,2012,3,5800000,93,NA,NA,NA,1,2266539000,35,15,Cloudcomputing,16,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
295,Shapeways,2011,4,100,100,4,4,300,NA,NA,NA,71,,72,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
296,Shapeways,2009,NA,NA,NA,NA,NA,NA,NA,244,NA,71,,72,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
297,Shapeways,2010,4,50,100,NA,1,NA,NA,NA,NA,71,,72,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
298,Shapeways,2013,1,300,23,3,10,67,NA,NA,NA,71,,72,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
299,Shapeways,2008,NA,100,NA,NA,100,NA,NA,NA,NA,71,,72,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
300,Shapeways,2012,4,230,130,2,6,50,NA,NA,NA,71,,72,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
301,Shiply,2010,4,175,338,NA,296206,NA,4,800,733,27,Transporting ,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
302,Shiply,2012,4,600,100,4,1.00E+06,100,NA,NA,NA,27,Transporting ,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
303,Shiply,2009,NA,40,NA,NA,NA,NA,NA,NA,NA,27,Transporting ,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
304,Shiply,2008,NA,NA,NA,NA,NA,NA,NA,96,NA,27,Transporting ,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
305,Shiply,2011,3,300,71,3,500,69,NA,NA,NA,27,Transporting ,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
306,Shiply,2013,3,1.00E+06,67,1,1887000,89,NA,NA,NA,27,Transporting ,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
307,Shutterfly,2008,NA,2789000,NA,NA,7569000,NA,NA,213480000,NA,4,Online Photo Service,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
308,Shutterfly,2009,1,3281000,18,1,7891000,4,1,246432000,15,4,Online Photo Service,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
309,Shutterfly,2010,1,4069000,24,1,9204000,17,1,307707000,25,4,Online Photo Service,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
310,Shutterfly,2011,1,5388000,32,1,12340000,34,2,473270000,54,4,Online Photo Service,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
311,Shutterfly,2012,1,7062000,31,1,16322000,32,1,640624000,35,4,Online Photo Service,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
312,Shutterfly,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Online Photo Service,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
313,Skype,2008,NA,3.25E+08,NA,NA,5800000,NA,NA,551300000,NA,28,Online Communicating Platform,29,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
314,Skype,2009,1,4.74E+08,46,1,7300000,26,1,7.19E+08,30,28,Online Communicating Platform,29,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
315,Skype,2010,1,6.63E+08,40,1,8800000,21,1,8.60E+08,20,28,Online Communicating Platform,29,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
316,Skype,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Online Communicating Platform,29,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
317,Skype,2012,NA,NA,NA,NA,NA,NA,NA,2.00E+09,NA,28,Online Communicating Platform,29,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
318,Skype,2013,NA,NA,NA,3,NA,NA,NA,NA,NA,28,Online Communicating Platform,29,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
319,Sparkfun,2011,NA,NA,NA,1,120,38,1,25100000,34,38,OSHW webshop,39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
320,Sparkfun,2012,NA,NA,NA,1,143,19,1,3.00E+07,20,38,OSHW webshop,39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
321,Sparkfun,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,OSHW webshop,39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
322,Sparkfun,2009,NA,NA,NA,NA,NA,NA,4,13400000,113,38,OSHW webshop,39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
323,Sparkfun,2010,NA,NA,NA,NA,87,NA,1,18700000,40,38,OSHW webshop,39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
324,Sparkfun,2008,NA,NA,NA,NA,1,NA,NA,6600000,NA,38,OSHW webshop,39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
325,Spotify,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Online Music Service,15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
326,Spotify,2012,2,2.00E+07,50,3,5.00E+06,67,4,5.00E+08,105,14,Online Music Service,15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
